,Unique City,No. Charging Stations
569,"CAMBRIDGE SPRINGS, PA",1
570,"CAMBRIDGE, MA",48
571,"CAMBRIDGE, MD",5
572,"CAMBRIDGE, MN",1
573,"CAMBRIDGE, NE",1
574,"CAMBRIDGE, OH",2
575,"CAMDEN, SC",1
576,"CAMERON PARK, CA",1
577,"CAMP VERDE, AZ",1
578,"CAMPBELL, CA",17
579,"CAMPTON, KY",1
580,"CANAL WINCHESTER, OH",1
581,"CANBY, OR",2
582,"CANNON BALL, ND",1
583,"CANNON BEACH, OR",7
584,"CANNON FALLS, MN",1
585,"CANONSBURG, PA",2
586,"CANTON, GA",3
587,"CANTON, IL",1
588,"CANTON, MO",1
589,"CANTON, OH",6
590,"CANTON, TX",1
591,"CANTUA CREEK, CA",1
592,"CANYON LAKE, TX",1
593,"CANYONVILLE, OR",2
594,"CAPE CANAVERAL, FL",2
595,"CAPE CARTERET, NC",1
596,"CAPE CORAL, FL",1
597,"CAPE GIRARDEAU, MO",2
598,"CAPE MAY COURT HOUSE, NJ",1
599,"CAPE MAY, NJ",3
600,"CAPITOL HEIGHTS, MD",1
601,"CAPITOLA, CA",4
602,"CAPTIVA, FL",1
603,"CARBONDALE, CO",9
604,"CARBONDALE, IL",1
605,"CAREFREE, AZ",2
606,"CAREY, OH",1
607,"CARLINVILLE, IL",1
608,"CARLISLE, PA",6
609,"CARLSBAD, CA",29
610,"CARLTON, OR",3
611,"CARMEL, IN",8
612,"CARMEL-BY-THE-SEA, CA",7
613,"CARMICHAEL, CA",1
614,"CAROL STREAM, IL",2
615,"CARPENTERSVILLE, IL",1
616,"CARPINTERIA, CA",5
617,"CARRBORO, NC",1
618,"CARRIZO SPRINGS, TX",1
619,"CARROLL, IA",1
620,"CARROLLTON, GA",3
621,"CARROLLTON, TX",5
622,"CARSON CITY, MI",1
623,"CARSON CITY, NV",8
624,"CARSON, CA",9
625,"CARSON, WA",1
626,"CARTERET, NJ",1
627,"CARTERSVILLE, GA",3
628,"CARTERVILLE, IL",1
629,"CARTHAGE, TN",1
630,"CARY, NC",26
631,"CASA GRANDE, AZ",3
632,"CASCADE LOCKS, OR",1
633,"CASHIERS, NC",1
634,"CASHTON, WI",1
635,"CASPER, WY",1
636,"CASSELBERRY, FL",1
637,"CASSOPOLIS, MI",1
638,"CASTAIC, CA",2
639,"CASTLE DALE, UT",1
640,"CASTLE HAYNE, NC",1
641,"CASTLE ROCK, CO",5
642,"CASTLE ROCK, WA",1
643,"CASTRO VALLEY, CA",3
644,"CASTROVILLE, CA",2
645,"CATALINA, AZ",1
646,"CATHEDRAL CITY, CA",7
647,"CATHLAMET, WA",2
648,"CATONSVILLE, MD",5
649,"CATOOSA, OK",2
650,"CAVE CREEK, AZ",2
651,"CAYCE, SC",2
652,"CAYUCOS, CA",2
653,"CAZADERO, CA",1
654,"CECILTON, MD",1
655,"CEDAR CITY, UT",7
656,"CEDAR FALLS, IA",5
657,"CEDAR HILL, TX",3
658,"CEDAR LAKE, IN",2
659,"CEDAR PARK, TX",10
660,"CEDAR RAPIDS, IA",13
661,"CEDARBURG, WI",1
662,"CEDARTOWN, GA",1
663,"CELEBRATION, FL",4
664,"CELINA, TX",1
665,"CELORON, NY",1
666,"CENTENNIAL, CO",11
667,"CENTER MORICHES, NY",1
668,"CENTEREACH, NY",1
669,"CENTERVILLE, IA",2
670,"CENTERVILLE, OH",4
671,"CENTRAL POINT, OR",2
672,"CENTRALIA, IL",1
673,"CENTRALIA, WA",2
674,"CENTREVILLE, MD",1
675,"CENTREVILLE, VA",4
676,"CERES, CA",1
677,"CERRITOS, CA",10
678,"CHADRON, NE",1
679,"CHALFONT, PA",2
680,"CHAMBERSBURG, PA",3
681,"CHAMBLEE, GA",3
682,"CHAMPAIGN, IL",14
683,"CHANDLER, AZ",41
684,"CHANDLER, OK",2
685,"CHANHASSEN, MN",2
686,"CHANNELVIEW, TX",2
687,"CHANTILLY, VA",6
688,"CHAPEL HILL, NC",16
689,"CHAPPAQUA, NY",4
690,"CHARLES CITY, IA",1
691,"CHARLES TOWN, WV",2
692,"CHARLESTON, SC",22
693,"CHARLESTON, WV",3
694,"CHARLESTOWN, IN",1
695,"CHARLEVOIX, MI",1
696,"CHARLOTTE, MI",1
697,"CHARLOTTE, NC",97
698,"CHARLOTTESVILLE, VA",19
699,"CHATFIELD, MN",1
